"Get terms and conditions","Obter termos e condições"
"Get total prices for shopping cart","Obter preços totais para o carrinho de compras"
"Gift Message","Mensagem de Presente"
"Grand Total:","Total Geral:"
"Grouped Product Image","Imagem de Produto Agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Imposto Incl."
"Invalid checkout type.","Tipo de finalização inválido."
"Invalid data.","Dados inválidos."
"Invalid email address ""%s""","Endereço de email inválido ""%s"""
"Invalid method: %s","Método inválido: %s"
"Invalid shipping method.","Método de envio inválido."
"Item not found or already ordered","Item não encontrado ou já comprado"
"Items","Itens"
"Items After","Itens Após"
"Items Before","Itens Antes"
"Load customer quote error","Carregar erro de cotação do cliente"
"Loading next step...","Carregando próxima etapa..."
"Login","Login"
"Login/Registration Before","Login/Cadatro Antes"
"Manage Terms and Conditions","Gerenciar Termos e Condições"
"Maximum Display Recently Added Item(s)","Exibição Máxima de Item(s) Adicionados Recentes"
"Maximum qty allowed for Shipping to multiple addresses is %s","A qtd máxima permitida para Enviar para múltiplos endereços é %s"
"Minimum order amount is %s","Quantidade mínima de pedido é %s"
"Move","Mover"
"Move to Wishlist","Mover para Lista de Desejos"
"Multishipping Checkout","Finalização com Múltiplos Envios"
"Multishipping Checkout Address (Any) Form","Formulário de Endereço (Qualquer) de Finalização com Múltiplos Envios"
"Multishipping Checkout Billing Address Creation","Criação de Endereço de Cobrança de Finalização com Múltiplos Envios"
"Multishipping Checkout Billing Address Edit Form","Formulário de Edição de Endereço de Cobrança de Finalização com Multiplos Envios"
"Multishipping Checkout Billing Address Selection","Seleção de Endereço de Cobrança de Finalização com Multiplos Envios"
"Multishipping Checkout Billing Information Step","Etapa de Informação de Cobrança de Finalização com Multiplos Envios"
"Multishipping Checkout Customer Address Edit Form","Formulário de Edição de Endereço de Cliente de Finalização com Multiplos Envios"
"Multishipping Checkout Overview","Resumo de Finalização com Multiplos Envios"
"Multishipping Checkout Shipping Address Creation","Criação de Endereço de Entrega de Finalização com Múltiplos Envios"
"Multishipping Checkout Shipping Address Edit Form","ormulário de Edição de Endereço de Entrega de Finalização com Multiplos Envios"
"Multishipping Checkout Shipping Address Selection","Seleção de Endereço de Entrega de Finalização com Multiplos Envios"
"Multishipping Checkout Shipping Information Step","Etapa de Informação de Entrega de Finalização com Multiplos Envios"
"Multishipping Checkout Success","Sucesso na Finalização com Multiplos Envios"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s itens)"
"My Cart Link","Link do Meu Carrinho"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"New Terms and Conditions","Novo Termos e Condições"
"No Payment Methods","Nenhum Método de Pagamento"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TOTAL DO PEDIDO SERÁ EXIBIDO ANTES QUE VOCÊ ENVIE O PEDIDO"
"One Page Checkout","Finalização em Uma Página"
"One Page Checkout Failure","Falha na Finalização em Uma Página"
"One Page Checkout Overview","Resumo da Finalização em Uma Página"
"One Page Checkout Success","Sucesso na Finalização em Uma Página"
"One item of products do not have identifier or sku","Um item de produtos não tem identificador ou sku"
"One item of products is not belong any of quote item","Um item de produtos não pertence a nenhum item de cotação"
"Order #","Pedido #"
"Order Review","Revisão do Pedido"
"Order Success","Sucesso no Pedido"
"Order place error.","Erro na realização do pedido."
"Other Items in Your Order","Outros Itens em Seu Pedido"
"Overview Items After","Resumo dos Item Após"
"Password","Senha"
"Payment Failed Email Reciever","Email Destinatário de Falha no Pagamento"
"Payment Failed Email Sender","Email Remetente de Falha no Pagamento"
"Payment Failed Emails","Emails de Falha no Pagamento"
"Payment Failed Template","Template de Falha no Pagamento"
"Payment Information","Informação de Pagamento"
"Payment Method","Método de Pagamento"
"Payment Methods After Checkout Button","Métodos de Pagamento Após o Botão de Finalizar"
"Payment Methods Before Checkout Button","Métodos de Pagamento Antes o Botão de Finalizar"
"Payment method information","Informação de método de pagamento"
"Payment method is not defined","Método de pagamento não está definido"
"Payment methods in shopping cart","Métodos de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil de pagamento # %s: ""%s""."
"Place Order","Realizar Pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor, concorde com todos Termos e Condições antes de realizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concorde com todos Termos e Condições antes de realizar os pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de realizar o pedido."
"Please check billing address information.","Por favor, verifique as informações do endereço de cobrança."
"Please check shipping address information.","Por favor, verifique as informações do endereço de entrega."
"Please check shipping addresses information.","Por favor, verifique as informações dos endereços de entrega."
"Please choose to register or to checkout as a guest","Por favor, escolha entre cadastrar-se ou finalizar compra como visitante"
"Please log in below:","Por favor faça login abaixo:"
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Please select shipping address for applicable items","Por favor selecione endereço de entrega para itens aplicáveis"
"Please select shipping methods for all addresses","Por favor selecione o método de entrega para todos os endereços"
"Please select valid payment method.","Por favor selecione um método de pagamento válido."
"Please specify payment method.","Por favor especifique o método de pagamento."
"Please specify shipping method.","Por favor especifique o método de entrega."
"Please specify shipping methods for all addresses.","Por favor especifique o método de entrega para todos os endereços."
"Price","Preço"
"Proceed to Checkout","Prosseguir para o Checkout"
"Product","Produto"
"Product Name","Nome do Produto"
"Products","Produtos"
"Qty","Qtd"
"Qty:","Qtd:"
"Quantity was recalculated from %d to %d","Quantidade foi recalculada de %d para %d"
"Quote Lifetime (days)","Tempo de Vida da Cotação (dias)"
"Quote item does not exist.","Item de cotação não existe."
"Quote item is not found.","Item de cotação não encontrado."
"Recently added item(s)","Item(s) adicionado(s) recentemente"
"Register","Cadastre-se"
"Register and save time!","Cadastre-se e economize tempo!"
"Register to Create an Account","Cadastre-se para Criar uma Conta"
"Register with us for future convenience:","Cadastre-se conosco para uma futura comodidade:"
"Remove Item","Remover Item"
"Remove This Item","Remover Este Item"
"Remove coupon code from shopping cart","Remover código de cupom do carrinho de compras"
"Remove item","Remover item"
"Remove product from shopping cart","Remover produto do carrinho de compras"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho de compras"
"Require Customer To Be Logged In To Checkout","Exigir Que O Cliente Esteja Logado Para Finalizar Compra"
"Retrieve information about shopping cart","Recuperar informações sobre o carrinho de compras"
"Review Order","Revisar Pedido"
"Review Order - %s","Revisar Pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar Condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Veja o preço antes de confirmação do pedido."
"Select Address","Selecionar Endereço"
"Select Addresses","Selecionar Endereços"
"Select Shipping Method","Selecionar Método de Entrega"
"Select State/Province...","Selecionar Estado/Província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu catálogo de endereços ou digite um novo endereço."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega do seu catálogo de endereços ou digite um novo endereço."
"Send Payment Failed Email Copy Method","Método de Envio de Cópia de Email de Falha no Pagamento"
"Send Payment Failed Email Copy To","Enviar Cópia de Email de Falha no Pagamento Para"
"Send To","Enviar Para"
"Separate by "","".","Separado por "",""."
"Set customer for shopping cart","Definir cliente para carrinho de compras"
"Set customer's addresses in shopping cart","Definir endereços do cliente no carrinho de compras"
"Set payment method","Definir método de pagamento"
"Set shipping method","Definir método de entrega"
"Ship to Multiple Addresses","Enviar para Múltiplos Endereços"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de Entrega"
"Shipping Information","Informação de Entrega"
"Shipping Method","Método de Entrega"
"Shipping Methods","Métodos de Entrega"
"Shipping To","Enviar Para"
"Shipping information","Informação de entrega"
"Shipping method has not been selected yet","Método de entrega não foi selecionado ainda"
"Shipping methods in shopping cart","Métodos de entrega no carrinho de compras"
"Shipping selection is not applicable.","Seleção de entrega não é aplicável."
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Form Before","Formulário de Carrinho de Compras Antes"
"Shopping Cart Sidebar","Carrinho de Compras da Barra Lateral"
"Shopping Cart Sidebar Extra Actions","Ações Extras do Carrinho de Compras da da Barra Lateral"
"Shopping Cart is Empty","Carrinho de Compras está Vazio"
"Shopping cart ability to set coupon code","Habilidade do carrinho de compras para definir o código do cupom"
"Show Content as","Exibir Conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos solicitados estão indisponíveis"
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas porque o incremento de quantidade é incompatível"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, finalizar como visitante não está habilitado. Por favor tente novamente ou contate o proprietário da loja."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma contação está disponível para este pedido neste momento."
"State/Province","Estado/Província"
"Status","Status"
"Store View","Visão de Loja"
"Street Address","Endereço"
"Street Address %s","Endereço %s"
"Submitting order information...","Enviando informações do pedido..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal deve ser superior a quantidade mínima de pedido"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informações de Termos e Condições"
"Terms and conditions","Termos e condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado por sua compra!"
"The condition has been deleted","A condição foi excluída"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","A finalização em uma página está desabilitada."
"The product could not be found.","O produto não pôde ser encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Seu carrinho contém <a href=""%s"">%s itens</a>."
"There is <a href=""%s"">1 item</a> in your cart.","Seu carrinho contém <a href=""%s"">1 item</a>."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Já existe um cliente registrado usando esse endereço de e-mail. Faça login usando esse endereço de e-mail ou digite um endereço de email diferente para registrar sua conta."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists.","Esta condição não existe mais."
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Não foi possível definir Método de Pagamento."
"Unit Price","Preço Unitário"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualizar Qtd &amp; Endereços"
"Update Shopping Cart","Atualizar Carrinho de Compras"
"Update Total","Atualizar Total"
"Update product quantities in shopping cart","Atualizar quantidades de produto no carrinho de compras"
"Update product(s) quantities in shopping cart","Atualizar quantidades de produto(s) no carrinho de compras"
"Use Billing Address","Usar Endereço de Cobrança"
"VAT Number","Número VAT"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos processando seu pedido e em breve você receberá um email com os detalhes do pedido. Uma vez que o pedido for enviado, você receberá outro email com um link para acompanhar o progresso."
"What's this?","O que é isso?"
"You have no items in your shopping cart.","Você não possui itens no seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um email de confirmação do pedido, com detalhes do seu pedido e um link para acompanhar o progresso."
"Your Checkout Progress","Seu Progresso de Checkout"
"Your billing agreement # is: %s.","Seu # de contrato de cobrança é: %s."
"Your order # is: %s.","Seu # de pedido é: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser concluído neste momento, já que não há métodos de pagamento disponíveis para ele."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento, já que não há métodos de envio disponíveis para ele. Por favor faça mudanças em seu endereço de entrega."
"Your order has been received.","Seu pedido foi recebido."
"Your order number is ","Seu número de pedido é "
"Your recurring payment profiles:","Seus perfis de pagamento recorrente:"
"Zip/Postal Code","CEP/Código Postal"
