"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","-- Por Favor Selecione --"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use somente letras (a-z ou A-Z) ou números (0-9) neste campo. Nenhum espaço ou outros caracteres são permitidos."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor use somente letras (a-z ou A-Z) ou números (0-9) ou espaços e # neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor use somente letras (a-z ou A-Z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor use somente letras (a-z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra."
"Please use only visible characters and spaces.","Por favor use somente caracteres visíveis e espaços."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de Março de 2006."
"Please wait, loading...","Por favor aguarde, carregando..."
"Polls","Enquetes"
"Port (25)","Porta (25)"
"Profiler","Gerador de Perfil"
"Recovery Link Expiration Period (days)","Período de Expiração de Link de Recuperação (dias)"
"Request Path for Specified Store","Caminho de Solicitação para Loja Específica"
"Request path length exceeds allowed %s symbols.","Comprimento do caminho de solicitação excede os %s símbolos permitidos."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Arquivo solicitado não pode incluir diretório pai transversal (""../"", ""..\\ notação)"""
"Requested invalid store ""%s""","Loja solicitada inválida ""%s"""
"Resource is not set.","Recurso não está definido."
"Retrieve info about current Magento installation","Obter informações sobre a instalação atual do Magento"
"Retrieve store data","Recuperar dados da loja"
"Retrieve store list","Recuperar lista de loja"
"Return-Path Email","Email Caminho-Retorno"
"Root Category","Categoria Raiz"
"Sales Representative","Representante de Vendas"
"Sales Representative Contact Email","Email de Contato do Representante de Vendas"
"Sales Representative Contact Name","Nome de Contato do Representante de Vendas"
"Save","Salvar"
"Save Store","Salvar Loja"
"Save Store View","Salvar Visão de Loja"
"Save Website","Salvar Website"
"Search Engines Optimization","Otimização de Mecanismos de Pesquisa"
"Secure","Seguro"
"Security","Segurança"
"Select Date","Selecione a Data"
"Select Media Database","Selecione o Banco de Dados de Mídia"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Services","Serviços"
"Session Cookie Management","Gerenciamento de Cookie de Sessão"
"Session Lifetime (seconds)","Tempo de Vida de Sessão (segundos)"
"Session Validation Settings","Configurações de Validação de Sessão"
"Set Return-Path","Definir Caminho-Retorno"
"Set as Default","Definir como Padrão"
"Skin (Images / CSS)","Skin (Imagens / CSS)"
"Sort Order","Ordem de Classificação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","A data/hora especified ""%1$s"" não coincide com o formato ""%2$s""."
"Start date cannot be greater than end date.","Data de início não pode ser maior que a data final."
"Startup Page","Página de Inicialização"
"Status","Status"
"Storage Configuration for Media","Configuração de Armazenamento para Mídia"
"Store","Loja"
"Store API","API de Loja"
"Store Contact Address","Endereço de Contato da Loja"
"Store Contact Information","Informação de Contato da Loja"
"Store Contact Telephone","Telefone de Contato da Loja"
"Store Email Addresses","Endereços de Email da Loja"
"Store Information","Informações da Loja"
"Store Name","Nome da Loja"
"Store View","Visão de Loja"
"Store View Information","Informações da Visão de Loja"
"Store View Name","Nome da Visão de Loja"
"Store view doesn't exist","A visão de loja não existe"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do Arquivo de Log do Sistema"
"Template Path Hints","Dicas de Caminho de Template"
"Template Settings","Configurações de Template"
"Template Variables","Variáveis de Template"
"Templates","Templates"
"Text length does not satisfy specified text range.","O comprimento do texto não satisfaz intervalo de texto especificado."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s que você digitou é inválido. Por favor, certifique-se que ele segueo formato ""http://dominio.com/""."
"The From Date value should be less than or equal to the To Date value.","O valor da Data de Início deve ser menor que ou igual ao valor da Data de Término."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código de loja pode conter somente letras (a-z), números (0-9) ou sublinhado (_), o primeiro caractere deve ser uma letra"
"The store does not exist","A loja não existe"
"The store has been deleted.","A loja foi excluída."
"The store has been saved.","A loja foi salva."
"The store view has been deleted.","A visão de loja foi excluída."
"The store view has been saved","A visão de loja foi salva"
"The template Name must not be empty.","O Nome do template não pode ficar vazio."
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"The website does not exist.","O website não existe."
"The website has been deleted.","O website foi excluído."
"The website has been saved.","O website foi salvo."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todos os seus elementos filhos"
"This category and its child categories only","Esta categoria e suas categorias filho somente"
"This category and its products only","Esta categoria e seus produtos somente"
"This category only","Esta categoria somente"
"This date is a required value.","Esta data é um valor obrigatório."
"This is a required field.","Este é um campo obrigatório."
"This store cannot be deleted.","Esta loja não pode ser excluída."
"This store view cannot be deleted.","Esta visão de loja não pode ser excluída."
"This website cannot be deleted.","Este website não pode ser excluído."
"This will be displayed just before body closing tag.","Isto será exibido antes do fechamento da tag body."
"This will be included before head closing tag in page HTML.","Isto será incluído antes do fechamento da tag head no HTML da página."
"Timezone","Fuso Horário"
"Title Prefix","Prefixo do Título"
"Title Suffix","Sufixo do Título"
"Transactional Emails","Emails Transacionais"
"Translate Inline","Traduzir Em Linha"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Tradução, blocos e outros caches de saída deve ser desativados para tradução em linha de ambos frontend e administração."
"Translations","Traduções"
"Two and more slashes together are not permitted in request path","Duas ou mais barras juntas não são permitidas no caminho de solicitação"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras juntas não são permitidos no sufixo de reescrita de url"
"Unable to create directory: %s","Não é possível criar diretório: %s"
"Unable to delete store view. Please, try again later.","Não é possível excluir a visão de loja. Por favor, tente novamente mais tarde."
"Unable to delete store. Please, try again later.","Não é possível excluir a loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não é possível excluir o website. Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Não é possível prosseguir. Por favor, tente novamente"
"Unable to proceed. Please, try again.","Não é possível prosseguir. Por favor, tente novamente."
"Unable to save file ""%s"" at ""%s""","Não é possível salvar o arquivo ""%s"" em ""%s"""
"Unable to save file: %s","Não é possível salvar o arquivo: %s"
"Unknown old style column type definition: {$definition}.","Definição do tipo de coluna de estilo antigo desconhecida: {$definition}."
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
"Unsecure","Não Seguro"
"Url Options","Opções de Url"
"Use Custom Admin Path","Usar Caminho Admin Personalizado"
"Use Custom Admin URL","Usar URL Admin Personalizado"
"Use HTTP Only","Usar Somente HTTP"
"Use SID on Frontend","Usar SID no Frontend"
"Use Secure URLs in Admin","Usar URLs Seguras no Admin"
"Use Secure URLs in Frontend","Usar URLs Seguras no Frontend"
"Use Web Server Rewrites","Usar Reescritas do Servidor Web"
"VAT Number","CPF"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Validação falhou."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores inferiores a 60 são ignorados. Observe que as alterações serão aplicadas após o logout."
"Variable Code must be unique.","O Código da Variável deve ser único."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Atenção! A ativação desse recurso não é recomendado em ambientes de produção, pois representa um potencial risco de segurança."
"Web","Web"
"Website","Website"
"Website Information","Informações do Website"
"Website Name","Nome do Website"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código do website pode conter somente letras (a-z), números (0-9) ou sublinhado (_), o primeiro caractere deve ser uma letra"
"Website with the same code","Website com o mesmo código"
"Weekend Days","Dias do Fim de Semana"
"Welcome Text","Texto de Bem-vindo"
"Wrong file info format","Formato de informações de arquivo incorreto"
"Wrong number of arguments for %s","Número de argumento incorreto para %s"
"Wrong old style column type definition: {$definition}.","Definição do tipo de coluna de estilo antigo incorreta: {$definition}."
"Yes","Sim"
"You will have to log in after you save your custom admin path.","Você terá que fazer login depois de salvar seu caminho admin personalizado."
"Your design change for the specified store intersects with another one, please specify another date range.","Sua mudança de design para a loja especificada cruza com uma outra, por favor especifique outro intervalo de datas."
"database ""%s""","banco de dados ""%s"""
"My Wishlist","Lista de desejos"
